Name,Address,Last Service Date,Frequency,Special Instructions
ABC Cleaning Services,123 Main Street Suite 100,2024-01-15,Monthly,Use back entrance after 5 PM
XYZ Corporation,456 Oak Avenue Building B,2024-01-10,Quarterly,Contact front desk before arrival
Green Office Solutions,789 Pine Road Floor 3,2024-01-20,Bi-Weekly,Building access code: 1234
City Medical Center,321 Elm Street,2024-01-05,Weekly,Park in visitor lot - validate parking
Tech Startup Hub,654 Maple Drive,2024-01-12,Semi-Monthly,No service on Fridays
Downtown Law Offices,987 Cedar Lane Suite 200,2024-01-18,Monthly,Call 555-0123 to schedule entry
Riverside Dental Clinic,147 Birch Court,2024-01-08,Bi-Weekly,Bring extra disinfectant supplies
Mountain View Restaurant,258 Spruce Avenue,2024-01-22,Weekly,Service after 11 PM closing time
Sunshine Realty Group,369 Walnut Boulevard,2024-01-14,Monthly,Keys available at property manager
Harbor Financial Services,741 Chestnut Street,2024-01-25,Quarterly,Security clearance required
Creative Design Studio,852 Ash Drive,2024-01-11,Semi-Monthly,No water service on computers
Valley Manufacturing,963 Hickory Road,2024-01-16,Monthly,Wear safety equipment in warehouse
Lakeside Apartments Complex,159 Willow Lane,2024-01-09,Weekly,Common areas only - 10 buildings
Parkside Elementary School,753 Sycamore Street,2024-01-19,Bi-Weekly,Service during evening hours only
Metro Shopping Center,486 Poplar Avenue,2024-01-13,Weekly,Start with food court area first
